sample_id,final_node_id,original_node_id,original_level
DF1759_00167_01,L4_Nf3f8f8c3,L4_Nd3a9b4af,L4
DF1759_00167_02,L4_Nf3f8f8c3,L4_Nf3f8f8c3,L4
DF1759_00169_01,L4_N0188902d,L4_N0188902d,L4
DF1759_00169_02,L4_N832c0c49,L4_N832c0c49,L4
DF1759_00171_01,L4_N3494c85c,L4_N3494c85c,L4
DF1759_00172_01,L4_N198738ba,L4_N198738ba,L4
DF1759_00172_02,L4_N3fa16235,L4_N3fa16235,L4
DF1759_00172_03,L4_N32b417e2,L4_N32b417e2,L4
DF1759_00175_01,L2_Na5b73aaf,L4_Naf94a663,L4
DF2583_00049_01,L4_N69265178,L4_N69265178,L4
DF2583_00051_01,L4_N5a060ef1,L4_N5a060ef1,L4
DF2583_00051_02,L4_N1513dd0d,L4_N1513dd0d,L4
DF2583_00053_01,L4_Nc28ba84f,L4_Nc28ba84f,L4
DF2583_00056_01,L4_N59784fee,L4_N59784fee,L4
DF2583_00056_02,L4_N59784fee,L4_Nada24d28,L4
DF2583_00058_01,L4_N6c7fdcaf,L4_N6c7fdcaf,L4
DF1759_00141_01,L4_N96f6c2a8,L4_N96f6c2a8,L4
DF1759_00143_01,L2_Nfdcfd3c4,L4_Ne55e384d,L4
DF1759_00143_02,L4_N1244f6cb,L4_N1244f6cb,L4
DF1759_00146_01,L4_N6e9da33c,L4_N6e9da33c,L4
DF1759_00148_01,L4_Nea0a385e,L4_Nea0a385e,L4
DF1759_00151_01,L4_N6b11fc79,L4_N6b11fc79,L4
DF1759_00153_01,L4_N48c963e1,L4_N48c963e1,L4
DF1759_00153_02,L4_Na35a474b,L4_Na35a474b,L4
DF1759_00153_03,L4_N08407b0e,L4_N08407b0e,L4
DF1185_00121_01,L4_N8648b9f1,L4_N8648b9f1,L4
DF1185_00123_01,L4_N34f6aab4,L4_N5edfd835,L4
DF1185_00125_01,L4_N34f6aab4,L4_N34f6aab4,L4
DF1185_00127_01,L4_Nfb48b97b,L4_Nfb48b97b,L4
DF2583_00042_01,L4_N9273a814,L4_N9273a814,L4
DF2583_00044_01,L4_N6c65c54a,L4_N6c65c54a,L4
DF2583_00046_01,L3_N7e9ff5f6,L4_Nfa586cf7,L4
DF2583_00015_01,L4_N30b235c2,L4_N30b235c2,L4
DF2583_00017_01,L3_N06f95f57,L4_N255c1775,L4
DF2583_00019_01,L4_N3220a070,L4_N3220a070,L4
DF2583_00021_01,L4_Nf737d76d,L4_Nf737d76d,L4
DF2583_00023_01,L4_Nc38e3e2b,L4_Nc38e3e2b,L4
DF2583_00026_01,L4_N4b0d0e0c,L4_N4b0d0e0c,L4
DF2583_00026_02,L4_Nef2378d9,L4_Nef2378d9,L4
DF2583_00028_01,L4_N848f47e5,L4_N848f47e5,L4
DF2583_00028_02,L4_Na052476c,L4_Na052476c,L4
DF2583_00030_01,L3_N85bf292e,L4_N85bf292e,L4
DF1185_00081_01,L4_N7d2d45d8,L4_N7d2d45d8,L4
DF1185_00083_01,L4_N1c9477d5,L4_N1c9477d5,L4
DF1185_00085_01,L4_N70a840eb,L4_N70a840eb,L4
DF1185_00085_02,L4_N70a840eb,L4_N70a840eb,L4
DF1185_00085_03,L4_N70a840eb,L4_Nc2b9cf21,L4
DF1185_00088_01,L4_N6834f90a,L4_Na1c24377,L4
DF1185_00090_01,L4_N6834f90a,L4_Na1c24377,L4
DF1185_00092_01,L4_N5e94e625,L4_N5e94e625,L4
DF1185_00095_01,L4_N8bd3a8a5,L4_N8bd3a8a5,L4
DF1185_00097_01,L3_N90c2cae1,L4_N90c2cae1,L4
DF1185_00099_01,L4_N219c5452,L4_N219c5452,L4
DF1185_00102_01,L3_N29e43ee4,L4_N61514be4,L4
DF1185_00104_01,L4_N8d005590,L4_N8d005590,L4
DF1185_00107_01,L4_N6dc065d5,L4_N6dc065d5,L4
DF1185_00109_01,L2_N0e93e380,L4_N0e93e380,L4
DF1185_00111_01,L4_Nf47f4823,L4_Nf47f4823,L4
DF1759_00057_01,L4_Nb11795db,L4_Nb11795db,L4
DF1759_00057_02,L4_N945a64d3,L4_N945a64d3,L4
DF1759_00059_01,L4_Na37f8214,L4_Na37f8214,L4
DF1759_00059_02,L4_Ne346220c,L4_Ne346220c,L4
DF1759_00062_01,L4_N27d838ea,L4_N27d838ea,L4
DF1759_00064_01,L4_Nb967aed3,L4_Nb967aed3,L4
DF1759_00064_02,L3_N3ba23cb1,L4_Nb4e3c0ce,L4
DF1759_00064_03,L3_N3ba23cb1,L4_Nb4e3c0ce,L4
DF1759_00075_01,L4_N256f563d,L4_Nfdd2124b,L4
DF1759_00075_02,L4_Nfdd2124b,L4_N1b595109,L4
DF1759_00075_03,L4_Nfdd2124b,L4_N1b595109,L4
DF1759_00077_01,L3_N571de1aa,L4_N31c774ef,L4
DF1759_00077_02,L4_Na5c9f759,L4_Na5c9f759,L4
DF1759_00079_01,L3_Nc97533ee,L4_N256f563d,L4
DF1759_00087_01,L4_Nc0927f0b,L4_N9596affd,L4
DF1759_00089_01,L3_Nb328f7fc,L4_Nc0927f0b,L4
DF1759_00092_01,L4_N2720f054,L4_N2720f054,L4
DF1759_00094_01,L4_Ndfac356a,L4_Ndfac356a,L4
DF1759_00094_02,L4_N5fc249ab,L4_N5fc249ab,L4
DF1759_00094_03,L4_N6bfccf65,L4_N6bfccf65,L4
DF1759_00096_01,L4_Nbc7f4787,L4_Nbc7f4787,L4
DF1759_00096_02,L4_N6834f90a,L4_N6834f90a,L4
DF1759_00123_01,L1_N70e79b29_BR_946648,L4_N2d19c279,L4
DF1759_00123_02,L4_N3bc888c0,L4_N3bc888c0,L4
DF1759_00126_01,L4_N6bcc2030,L4_N6bcc2030,L4
DF1759_00128_01,L3_N3ba23cb1,L4_N0d91d293,L4
DF1759_00128_02,L4_N3ac13c17,L4_N3ac13c17,L4
DF1759_00131_01,L4_Na8ba2f4a,L4_Na8ba2f4a,L4
DF2583_00033_01,L4_N162d5723,L4_N162d5723,L4
DF2583_00033_02,L4_Nd788e769,L4_Nd788e769,L4
DF2583_00035_01,L3_N94978a33,L4_N94978a33,L4
DF2583_00037_01,L4_Ne0f95b19,L4_Ne0f95b19,L4
DF2583_00037_02,L4_Nea99104a,L4_Nea99104a,L4
DF2583_00039_01,L4_Na35280bb,L4_Na35280bb,L4
DF2583_00039_02,L3_N4da94e7a,L4_Na2b3c84a,L4
DF0298_00025_01,L2_Nc81ee0b8,L3_Nc5166684,L3
DF0298_00027_01,L3_Nf50b9a9d,L3_Nf50b9a9d,L3
DF0865_00049_01,L3_Nb1103d45,L3_Nb1103d45,L3
DF0865_00051_01,L3_N792037db,L3_N792037db,L3
DF0865_00053_01,L3_N42402ab1,L3_N42402ab1,L3
DF0865_00056_01,L3_Nea04744e,L3_Nea04744e,L3
DF0865_00058_01,L4_N0188902d,L3_N724f0a0b,L3
DF0865_00060_01,L3_N2c29b561,L3_N2c29b561,L3
DF1759_00166_01,L3_N97559905,L3_N97559905,L3
DF1759_00174_01,L2_Na5b73aaf,L3_Nc3d125b3,L3
DF2583_00048_01,L2_N4f9516d8,L3_Nd93e3e25,L3
DF0298_00030_01,L3_N3ab0a1a9,L3_N07990008,L3
DF0298_00032_01,L3_N77a3b68b,L3_N133b0ed2,L3
DF0298_00034_01,L3_Na5cf0ba6,L3_Na5cf0ba6,L3
DF0298_00036_01,L3_N84a28744,L3_N84a28744,L3
DF0542_00010_01,L2_N306e9a75,L3_N3ab0a1a9,L3
DF1898_00030_01,L2_N306e9a75,L3_N3ab0a1a9,L3
DF0542_00012_01,L3_N77a3b68b,L3_N77a3b68b,L3
DF0542_00014_01,L3_Nb148a883,L3_Nb148a883,L3
DF1176_00024_01,L3_N48dcd88a,L3_N48dcd88a,L3
DF1176_00026_01,L3_N9815851a,L3_N9815851a,L3
DF1898_00032_01,L3_N8458a8a8,L3_N8458a8a8,L3
DF1898_00034_01,L3_N98ef0212,L3_N98ef0212,L3
DF1898_00054_01,L3_Nc21e1f2f,L3_Nc21e1f2f,L3
DF1898_00056_01,L3_N71ce64b1,L3_N71ce64b1,L3
DF2583_00055_01,L3_Ne6cde812,L3_Ne6cde812,L3
DF0865_00063_01,L2_Ne1879105,L3_N1b187997,L3
DF0865_00065_01,L3_Nbf5cb6ef,L3_Nbf5cb6ef,L3
DF0865_00067_01,L3_N5b8fd671,L3_N5b8fd671,L3
DF1759_00140_01,L3_N09522c48,L3_N09522c48,L3
DF1759_00145_01,L3_Ne42076c0,L3_Nfc162f8c,L3
DF1759_00150_01,L2_Nfdcfd3c4,L3_N70eeee1d,L3
DF1759_00155_01,L2_Nfdcfd3c4,L3_Ne42076c0,L3
DF1176_00029_01,L2_N0109e16a,L3_N8283673b,L3
DF1176_00031_01,L4_N6c65c54a,L3_Nce212504,L3
DF1185_00115_01,L4_N34f6aab4,L3_N53ff6178,L3
DF1185_00120_01,L3_N4b540045,L3_N4b540045,L3
DF1185_00129_01,L3_N1da589d2,L3_N1da589d2,L3
DF1185_00131_01,L2_Ne455f9ae,L3_Ne455f9ae,L3
DF2583_00041_01,L3_N7e9ff5f6,L3_N7e9ff5f6,L3
DF0459_00011_01,L3_N08db7b5b,L3_N08db7b5b,L3
DF0459_00013_01,L4_Na052476c,L3_Nd571b089,L3
DF0865_00030_01,L3_Nea54495c,L3_Nea54495c,L3
DF0865_00032_01,L3_N965cfc12,L3_N965cfc12,L3
DF0865_00034_01,L3_Nba68b284,L3_Nba68b284,L3
DF1176_00044_01,L3_Nbccd8d12,L3_Nbccd8d12,L3
DF1176_00046_01,L4_N3220a070,L3_N8b934feb,L3
DF1185_00052_01,L3_N7c0dd099,L3_N7c0dd099,L3
DF1185_00054_01,L3_Nd003c070,L3_Nd003c070,L3
DF1185_00058_01,L3_N252b74e4,L3_N252b74e4,L3
DF1185_00060_01,L3_N51765af4,L3_N51765af4,L3
DF1185_00064_01,L3_N5c977f92,L3_N5c977f92,L3
DF1185_00066_01,L3_N9ae5e272,L3_N9ae5e272,L3
DF1185_00068_01,L3_Nbf6e7bf3,L3_Nbf6e7bf3,L3
DF1185_00070_01,L3_N701e7011,L3_N701e7011,L3
DF1185_00074_01,L2_Nb80d9c6e,L3_N14530829,L3
DF1185_00076_01,L2_N60c3ab56,L3_N60c3ab56,L3
DF2583_00014_01,L3_N06f95f57,L3_N06f95f57,L3
DF2583_00025_01,L3_Ne96a4ba3,L3_Ne96a4ba3,L3
DF0298_00015_01,L4_Nea99104a,L3_N4c90cbd7,L3
DF0298_00017_01,L4_Ne346220c,L3_Nb67e0092,L3
DF0298_00020_01,L3_N571de1aa,L3_N571de1aa,L3
DF0298_00022_01,L1_N70e79b29_BR_946648,L3_N33c0e278,L3
DF0459_00016_01,L4_N27d838ea,L3_N303eccc1,L3
DF0459_00018_01,L3_Ne5a02d74,L3_Ne5a02d74,L3
DF0459_00020_01,L3_N86ef6403,L3_N74ff71bd,L3
DF0459_00023_01,L3_N8f8e91cf,L3_Nc56580b0,L3
DF0459_00025_01,L4_N3bc888c0,L3_Nb2d030f0,L3
DF0459_00027_01,L2_N68c2aa93,L3_N8f8e91cf,L3
DF1898_00040_01,L2_N68c2aa93,L3_N8f8e91cf,L3
DF0459_00029_01,L2_N27ba78e2,L3_N27ba78e2,L3
DF0459_00032_01,L2_N13abaa5a,L3_Ned79e54c,L3
DF0459_00034_01,L3_Nb394347b,L3_Nb394347b,L3
DF0459_00036_01,L3_N22d9d7b1,L3_N22d9d7b1,L3
DF0459_00038_01,L4_Nbc7f4787,L3_N62ed0091,L3
DF0542_00017_01,L3_Nccfe417c,L3_Nccfe417c,L3
DF0542_00019_01,L3_N9ecfe06c,L3_N9ecfe06c,L3
DF0542_00021_01,L3_Nccfe417c,L3_N86ef6403,L3
DF0542_00024_01,L3_N22dcecc8,L3_N22dcecc8,L3
DF0542_00026_01,L2_N27ba78e2,L3_Nc3e4e468,L3
DF0865_00037_01,L3_N9a9d4b5c,L3_N9a9d4b5c,L3
DF0865_00039_01,L3_N2d02331f,L3_N2d02331f,L3
DF0865_00042_01,L3_N3ba23cb1,L3_N3ba23cb1,L3
DF0865_00044_01,L4_Ne0f95b19,L3_Nc594b785,L3
DF0865_00046_01,L2_Nc3c2ff15,L3_Na7c6a537,L3
DF1176_00034_01,L3_Na1b5b8e4,L3_Na1b5b8e4,L3
DF1176_00036_01,L3_Nb328f7fc,L3_Nd3c80123,L3
DF1176_00039_01,L3_N82cdf37d,L3_N82cdf37d,L3
DF1176_00041_01,L3_Nc92a3618,L3_Nc92a3618,L3
DF1185_00080_01,L3_N595f8c05,L3_N595f8c05,L3
DF1185_00087_01,L3_N18ada171,L3_N18ada171,L3
DF1185_00094_01,L3_Nd551ce89,L3_Nd551ce89,L3
DF1185_00101_01,L3_N29e43ee4,L3_N29e43ee4,L3
DF1185_00106_01,L2_N640a2992,L3_N640a2992,L3
DF1759_00056_01,L3_N4c90cbd7,L3_Nf3b017a0,L3
DF1759_00061_01,L3_N303eccc1,L3_N198ad664,L3
DF1759_00074_01,L3_Nc97533ee,L3_Nc97533ee,L3
DF1759_00085_01,L3_Nb328f7fc,L3_Nb328f7fc,L3
DF1759_00091_01,L3_Nb328f7fc,L3_Nb328f7fc,L3
DF1759_00118_01,L3_Nb0e7dd4f,L3_Nb0e7dd4f,L3
DF1759_00122_01,L3_N0f65b0c3,L3_N0f65b0c3,L3
DF1759_00125_01,L3_N65606e29,L3_N65606e29,L3
DF1759_00130_01,L2_Nc3c2ff15,L3_Nd290d812,L3
DF1898_00038_01,L3_Nca0d54be,L3_Nca0d54be,L3
DF1898_00042_01,L4_N6bcc2030,L3_Nf8bb4ea7,L3
DF2583_00032_01,L4_N162d5723,L3_Ncc6e46eb,L3
DF2583_00032_02,L4_Nd788e769,L3_Naeed249a,L3
DF2583_00032_03,L3_N4da94e7a,L3_N4da94e7a,L3
DF0298_00039_01,L3_Nef0fcc52,L3_Nef0fcc52,L3
DF0542_00029_01,L3_Nb3d3c087,L3_Nb3d3c087,L3
DF0542_00031_01,L2_N578f3b8a,L3_N578f3b8a,L3
DF0542_00033_01,L3_N9c47a867,L3_N9c47a867,L3
DF0542_00035_01,L3_N5383b7aa,L3_N5383b7aa,L3
DF0865_00025_01,L1_N762e6689_BR_c43b41,L3_N55fb6992,L3
DF0865_00027_01,L3_N3810ecfd,L3_N3810ecfd,L3
DF0865_00070_01,L3_Na04441bf,L3_Na04441bf,L3
DF0865_00070_02,L3_Nf8276134,L3_Nf8276134,L3
DF0865_00072_01,L3_Na6c4ae61,L3_Na6c4ae61,L3
DF0865_00072_02,L3_N4888066d,L3_N4888066d,L3
DF0865_00072_03,L3_Nb28e82d6,L3_Nb28e82d6,L3
DF1898_00024_01,L3_Ne78d3c45,L3_Ne78d3c45,L3
DF1898_00026_01,L3_N4888066d,L3_N55664f5d,L3
DF1898_00046_01,L3_N0362ceea,L3_N0362ceea,L3
DF1898_00048_01,L3_Ne7b47d1e,L3_Ne7b47d1e,L3
DF1898_00050_01,L3_N888d7345,L3_N888d7345,L3
DF1759_00171_01,L4_N3494c85c,L3_N3494c85c,L3
DF1759_00172_03,L4_N32b417e2,L3_N32b417e2,L3
DF1759_00143_01,L2_Nfdcfd3c4,L3_Ne55e384d,L3
DF1185_00127_01,L4_Nfb48b97b,L3_Nfb48b97b,L3
DF2583_00030_01,L3_N85bf292e,L3_N85bf292e,L3
DF1185_00097_01,L3_N90c2cae1,L3_N90c2cae1,L3
DF1185_00109_01,L2_N0e93e380,L3_N0e93e380,L3
DF2583_00035_01,L3_N94978a33,L3_N94978a33,L3
DF0298_00024_01,L2_Nc81ee0b8,L2_Nc81ee0b8,L2
DF0865_00048_01,L2_N6d9c5da7,L2_N6d9c5da7,L2
DF0865_00055_01,L2_Na5b73aaf,L2_Na5b73aaf,L2
DF1322_00023_01,L2_N4f9516d8,L2_N4f9516d8,L2
DF1759_00164_01,L2_Nd825449f,L2_Nd825449f,L2
DF0009_00028_01,L2_N649ec6c7,L2_N649ec6c7,L2
DF0009_00036_01,L2_N9f46f3fd,L2_N9f46f3fd,L2
DF0298_00029_01,L2_Nbd50000d,L2_Nbd50000d,L2
DF0542_00009_01,L2_N306e9a75,L2_N306e9a75,L2
DF1898_00029_01,L2_N306e9a75,L2_N306e9a75,L2
DF1176_00023_01,L2_Nff3b5230,L2_Nff3b5230,L2
DF1898_00053_01,L2_N24b2144b,L2_N24b2144b,L2
DF0009_00032_01,L2_Ne1879105,L2_Ne1879105,L2
DF0009_00032_02,L3_N5b8fd671,L2_Na75f0b05,L2
DF0865_00062_01,L3_Nbf5cb6ef,L2_Nc8ab6162,L2
DF1759_00138_01,L2_Nfdcfd3c4,L2_Nfdcfd3c4,L2
DF0403_00038_01,L1_N6be998d8_BR_8df89b,L2_N9e86e873,L2
DF0403_00038_02,L2_N33b2d022,L2_N33b2d022,L2
DF1176_00028_01,L3_N7e9ff5f6,L2_Nbde783bd,L2
DF1185_00113_01,L2_N0109e16a,L2_N0109e16a,L2
DF1322_00017_01,L1_N6be998d8,L2_N227589e0,L2
DF0009_00014_01,L1_N6e836104_BR_7637d7,L2_Nd8a500a1,L2
DF0009_00017_01,L1_N6e836104,L2_N0a6e8ca5,L2
DF0009_00039_01,L2_Nb22f5139,L2_Nb22f5139,L2
DF0403_00019_03,L2_N4db8aea7,L2_N4db8aea7,L2
DF0403_00032_01,L2_Nfeea0571,L2_Nfeea0571,L2
DF0403_00032_02,L2_Nb80d9c6e,L2_Nb80d9c6e,L2
DF0459_00010_01,L2_N8228268e,L2_N8228268e,L2
DF0865_00029_01,L2_N5e2fe781,L2_N5e2fe781,L2
DF1176_00043_01,L2_N3d4844b8,L2_N3d4844b8,L2
DF1185_00050_01,L1_N6e836104_BR_7637d7,L2_N7d5270bf,L2
DF1185_00062_01,L2_N3c9cbbd0,L2_N3c9cbbd0,L2
DF1185_00072_01,L2_N18198f00,L2_N18198f00,L2
DF1322_00019_01,L1_N6e836104_BR_c83016,L2_Nadf8c478,L2
DF0009_00022_01,L2_N466127b4,L2_N466127b4,L2
DF0009_00025_01,L2_N10f72f08,L2_N10f72f08,L2
DF0865_00041_01,L2_N10f72f08,L2_N10f72f08,L2
DF0298_00014_01,L2_N08a346fe,L2_N08a346fe,L2
DF0298_00019_01,L1_N70e79b29,L2_N709fdde1,L2
DF0459_00022_01,L1_N70e79b29,L2_N709fdde1,L2
DF0542_00023_01,L1_N70e79b29,L2_N709fdde1,L2
DF1898_00037_01,L1_N70e79b29,L2_N709fdde1,L2
DF0403_00012_01,L2_N9a2b3002,L2_N9a2b3002,L2
DF0403_00012_02,L2_N8c3b0cad,L2_N8c3b0cad,L2
DF0403_00019_01,L2_Nd77a7607,L2_Nd77a7607,L2
DF0403_00019_02,L2_N9ef25cc0,L2_N9ef25cc0,L2
DF0403_00027_01,L2_N69b20189,L2_N69b20189,L2
DF0403_00027_02,L2_Ne4cef915,L2_Ne4cef915,L2
DF0459_00015_01,L2_N8e687f9d,L2_N8e687f9d,L2
DF0459_00031_01,L2_Nf64b0b03,L2_Nf64b0b03,L2
DF0542_00016_01,L2_N08a346fe,L2_Nd0b47c6e,L2
DF0865_00036_01,L1_N70e79b29,L2_N172cd711,L2
DF1176_00033_01,L3_Na1b5b8e4,L2_N2f32c229,L2
DF1176_00038_01,L2_Nc3c2ff15,L2_Nc3c2ff15,L2
DF1322_00021_01,L2_Nc3c2ff15,L2_Nc3c2ff15,L2
DF1185_00078_01,L3_N595f8c05,L2_Nd39445b0,L2
DF1322_00013_01,L2_N926fa20a,L2_N926fa20a,L2
DF1322_00015_01,L1_N70e79b29,L2_N3782a8fc,L2
DF1322_00015_02,L2_Naaad89dc,L2_Naaad89dc,L2
DF1759_00054_01,L2_Nbfebbffa,L2_Nbfebbffa,L2
DF1759_00083_01,L2_N13abaa5a,L2_N13abaa5a,L2
DF1759_00120_01,L2_N68c2aa93,L2_N68c2aa93,L2
DF0298_00038_01,L2_N8ed52793,L2_N8ed52793,L2
DF0542_00028_01,L2_N6db20b9a,L2_N6db20b9a,L2
DF1898_00045_01,L2_N6db20b9a,L2_N6db20b9a,L2
DF0865_00024_01,L2_N242a428d,L2_Nd5d2d592,L2
DF0865_00069_01,L2_N242a428d,L2_N242a428d,L2
DF1898_00023_01,L1_N762e6689_BR_c43b41,L2_N6da1b013,L2
DF1185_00131_01,L2_Ne455f9ae,L2_Ne455f9ae,L2
DF1185_00076_01,L2_N60c3ab56,L2_N60c3ab56,L2
DF0459_00029_01,L2_N27ba78e2,L2_N27ba78e2,L2
DF1185_00106_01,L2_N640a2992,L2_N640a2992,L2
DF1185_00109_01,L2_N0e93e380,L2_N0e93e380,L2
DF0542_00031_01,L2_N578f3b8a,L2_N578f3b8a,L2
