node_id,L1,L2,L3
L4_N3220a070,基础设施与枢纽,提升航空货运枢纽集疏运能力,优化客货运航线网络
L4_N30b235c2,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_N255c1775,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_Nc38e3e2b,基础设施与枢纽,提升航空货运枢纽集疏运能力,系统推进航空客货枢纽建设
L4_Nf737d76d,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_N4b0d0e0c,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_Nef2378d9,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_N848f47e5,基础设施与枢纽,提升航空货运枢纽集疏运能力,增强航空货运基础保障能力
L4_Na052476c,基础设施与枢纽,提升货运设施保障能力,提升装备专业化水平
L4_N85bf292e,基础设施与枢纽,完善机场货运基础设施,加快机场货运重大项目建设
L4_Nfdd2124b,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nc2b08089,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_N328ead7e,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nd79ac9d1,基础设施与枢纽,加快构建国际航线网络,加快引进国内国际货运航司
L4_Nea99104a,基础设施与枢纽,加快构建国际航线网络,完善国际航空货运航线
L4_Na37f8214,基础设施与枢纽,加快构建国际航线网络,完善国际货运航线
L4_Nb967aed3,基础设施与枢纽,加快构建国际航线网络,完善国际货运航线
L4_Na5c9f759,基础设施与枢纽,增加全货机运力,引进航司提升运力
L4_N256f563d,基础设施与枢纽,增加全货机运力,引进航司提升运力
L4_N27d838ea,基础设施与枢纽,构建优质航线网络,打造精品航线网络
L4_N31c774ef,市场主体与网络,鼓励新设立基地货运航空公司,大力招引货运航空公司
L4_N219c5452,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_N61514be4,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_N8d005590,市场主体与网络,鼓励新设立基地货运航空公司,建设货运包机运营基地
L4_Nbc7f4787,市场主体与网络,提高物流服务保障效率,推进智慧物流建设
L4_N6bcc2030,市场主体与网络,增强航空物流服务能力,加快国际航空物流中心载体建设
L4_Na35280bb,市场主体与网络,完善多式联运体系,推动多式联运发展
L4_N3ac13c17,市场主体与网络,完善多式联运体系,探索开展多式联运
L4_Na8ba2f4a,市场主体与网络,完善多式联运体系,探索开展多式联运
L4_Nb11795db,市场主体与网络,优化拓展货运航线网络,加密货运航线
L4_N945a64d3,市场主体与网络,优化拓展货运航线网络,加密货运航线
L4_Ne0f95b19,市场主体与网络,优化拓展货运航线网络,拓展航空货运细分领域
L4_Ne346220c,市场主体与网络,增强货运保障能力,提升国际货运中转功能
L4_N94978a33,市场主体与网络,增强货运保障能力,提升国际货运中转功能
L4_N9596affd,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_Nc0927f0b,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_N2720f054,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_Ndfac356a,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_N5fc249ab,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_N6bfccf65,市场主体与网络,增强货运保障能力,完善货运设施功能
L4_Na2b3c84a,市场主体与网络,提升货源组织能力,大力拓展货源
L4_N9273a814,通关与口岸效能,优化航空口岸服务环境,提升航空口岸便利化水平
L4_Nfa586cf7,通关与口岸效能,优化航空口岸服务环境,提升航空口岸便利化水平
L4_N34f6aab4,通关与口岸效能,优化拓展航空口岸服务功能,提高口岸通关便利化水平
L4_N8648b9f1,通关与口岸效能,优化拓展航空口岸服务功能,加快大通关基地建设运营
L4_N5edfd835,通关与口岸效能,优化拓展航空口岸服务功能,加快大通关基地建设运营
L4_Nfb48b97b,通关与口岸效能,优化拓展航空口岸服务功能,加快大通关基地建设运营
L4_N6c65c54a,通关与口岸效能,提升口岸服务效能,提升口岸通关便利化
L4_N6e9da33c,智慧绿色转型,提升枢纽智慧水平,提升航空货运智慧化水平
L4_N6b11fc79,智慧绿色转型,提升枢纽智慧水平,提升航空货运智慧化水平
L4_N96f6c2a8,智慧绿色转型,提升枢纽智慧水平,推进智慧平台建设
L4_Ne55e384d,智慧绿色转型,提升枢纽智慧水平,推进智慧平台建设
L4_N1244f6cb,智慧绿色转型,提升枢纽智慧水平,推进智慧平台建设
L4_Nea0a385e,智慧绿色转型,智慧货运高效管理,推进智慧货运高效管理
L4_N48c963e1,智慧绿色转型,智慧货运高效管理,推进智慧货运高效管理
L4_N0188902d,区域协同与产业联动,推动区港联动发展,加强与重点产业园区对接
L4_Naf94a663,区域协同与产业联动,推动区港联动发展,加强港区高效联动
L4_N5a060ef1,区域协同与产业联动,大力发展航空经济,发展临空经济
L4_N1513dd0d,区域协同与产业联动,大力发展航空经济,发展临空经济
L4_Nc28ba84f,区域协同与产业联动,大力发展航空经济,发展临空经济
L4_N59784fee,资源与要素保障,加大政策扶持力度,完善配套政策支持
L4_Nada24d28,资源与要素保障,加大政策扶持力度,完善配套政策支持
L4_N6c7fdcaf,资源与要素保障,加大政策扶持力度,完善配套政策支持
L4_N832c0c49,营商环境优化,营造宜商宜业环境,建设跨境电商服务平台
L4_N3494c85c,营商环境优化,营造宜商宜业环境,建设跨境电商服务平台
L4_Nd3a9b4af,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_Nf3f8f8c3,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_N198738ba,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_N3fa16235,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_N32b417e2,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_N69265178,产业生态拓展,延伸产业丰富业态,延伸航空物流链条
L4_N7d2d45d8,产业生态拓展,大力开拓航空物流新兴业态,冷链物流基建推进
L4_N1c9477d5,产业生态拓展,大力开拓航空物流新兴业态,冷链物流标准建设
L4_N0e93e380,产业生态拓展,大力开拓航空物流新兴业态,制造业融合促进
L4_N70a840eb,产业生态拓展,大力开拓航空物流新兴业态,逐步完善冷链物流产业
L4_Nc2b9cf21,产业生态拓展,大力开拓航空物流新兴业态,逐步完善冷链物流产业
L4_Na1c24377,产业生态拓展,大力开拓航空物流新兴业态,积极推进跨境电商发展
L4_N5e94e625,产业生态拓展,大力开拓航空物流新兴业态,积极推进跨境电商发展
L4_N6834f90a,产业生态拓展,大力开拓航空物流新兴业态,积极推进跨境电商发展
L4_N8bd3a8a5,产业生态拓展,大力开拓航空物流新兴业态,发展航空中转集拼业务
L4_N90c2cae1,产业生态拓展,大力开拓航空物流新兴业态,发展航空中转集拼业务
L4_N6dc065d5,产业生态拓展,大力开拓航空物流新兴业态,进一步优化供应链管理
L4_Nf47f4823,产业生态拓展,大力开拓航空物流新兴业态,进一步优化供应链管理
L4_N2d19c279,多元经营主体培育,培育市场主体,引进培育总部型货代企业
L4_N3bc888c0,多元经营主体培育,培育市场主体,培育物流龙头企业
L4_N162d5723,多元经营主体培育,培育市场主体,加强市场推介
L4_Nbf72ad46,增量市场拓展,大力拓展增量市场业务,大力发展货运中转业务
L4_N6aba220c,增量市场拓展,大力拓展增量市场业务,大力发展货运中转业务
L4_N0d91d293,增量市场拓展,大力拓展增量市场业务,大力发展货运中转业务
L4_N08407b0e,服务管理优化,提升运营管理能力,提升运营管理能力
L4_Na35a474b,战略引资与资本合作,引入战略投资,引入战略投资
L4_Nd788e769,数字基础设施,加快数字基础设施建设,加强招商
