doc_id,block_idx,block_text,final_type_label,final_level,是否聚类
DF0009,14,"　　二、加快完善枢纽规划布局
",heading,H1,是
DF0009,15,"（三）根据形势任务发展需要，适时启动《上海国际航空枢纽战略规划》修编工作，进一步深化明确上海两场功能定位。（责任单位：民航华东地区管理局、市交通委、机场集团）
",heading,NA,否
DF0009,16,"（四）加快推进浦东国际机场、虹桥国际机场总体规划修编，完善机场货站布局规划。整合浦东国际机场现有分散货运设施，加快形成“东西两片区”布局。（责任单位：民航华东地区管理局、市规划资源局、机场集团）
",heading,NA,否
DF0009,17,"　　三、加快推进基础设施建设
",heading,H1,是
DF0009,18,"（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）
",normal,NA,否
DF0009,19,"（六）加快推进浦东国际机场第五跑道军地协议签订、飞行程序调整等前期工作，推动第五跑道尽快开放使用。（责任单位：市发展改革委、民航华东地区管理局、机场集团、民航华东空管局）
",normal,NA,否
DF0009,20,"（七）持续完善上海两场及周边地区综合交通规划方案，加快推进周邓快速路、漕宝快速路、G15等机场地区对外道路通道项目建设。（责任单位：市交通委、浦东新区政府）
",normal,NA,否
DF0009,21,"（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）
",normal,NA,否
DF0009,22,"　　四、积极培育多元经营主体
",heading,H1,是
DF0009,23,"（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）
",heading,NA,否
DF0009,24,"（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）
",heading,NA,否
DF0009,25,"　　五、大力拓展增量市场业务
",heading,H1,是
DF0009,26,"（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）
",heading,NA,否
DF0009,27,"（十二）大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。（责任单位：市交通委、民航华东地区管理局、中国铁路上海局集团、东方枢纽集团、机场集团、东航集团、上港集团）
",heading,NA,否
DF0009,28,"　　六、扎实做好货物运输保障
",heading,H1,是
DF0009,29,"（十三）推动航空物流、生产制造、跨境电商等企业合作，持续加大电子芯片、生物医药等高附加值产品运输保障，加强对生活类跨境电商货物的运输保障，关注工业品电商跨境发展新趋势，不断优化上海航空口岸货物运输结构。（责任单位：市交通委、市商务委（市口岸办）、市经济信息化委、基地航空公司）
",normal,NA,否
DF0009,30,"（十四）推动航空物流、跨境电商等企业深化合作，建立服务跨境电商专属平台，组建跨境电商专属运输机队（自购、租赁货机），开设跨境电商专属航线航班，服务上海口岸跨境电商货物空运需求。（责任单位：市交通委、市商务委（市口岸办）、市国资委、民航华东地区管理局、东航集团）
",normal,NA,否
DF0009,31,"（十五）深入推进跨境电商货物便利化运输试点，建设跨境电商货物便利化收运数字管理平台。打响“出海优品”活动，举办“跨境电商＋产业带”系列活动。（责任单位：市商务委（市口岸办）、机场集团、东航集团）
",normal,NA,否
DF0009,32,"　　七、提升枢纽智慧绿色水平
",heading,H1,是
DF0009,33,"（十六）加快建设中国（上海）国际贸易“单一窗口”航空物流公共信息平台，不断完善增强“空运通”平台功能。（责任单位：市商务委（市口岸办）、机场集团、东航集团）
",normal,NA,否
DF0009,34,"（十七）加快推进货站设施智慧化改造，不断提升航空货物单证电子化率。支持机场、航空公司等经营主体建设面向国际运输及跨境电商、生鲜冷链、锂电池、生物医药等专业保障基础设施。推广使用自动引导搬运车（AGV）、自动分拣系统等设施设备。（责任单位：民航华东地区管理局、机场集团、东航集团）
",normal,NA,否
DF0009,35,"（十八）加强航空货物安检、全景感知、无人化等领域的新技术研发与应用，推动完成一批上海两场场内特种车辆新能源替代。（责任单位：民航华东地区管理局、市交通委、机场集团、东航集团）
",normal,NA,否
DF0009,36,"　　八、继续做好航空资源保障
",heading,H1,是
DF0009,37,"（十九）结合航空货运市场发展需求，争取民航局在远程航线航权、二类稀缺航线航权等资源配置上给予倾斜，提升主基地航空公司在航线准入和航权配置的优先级，支持各航空公司聚焦主基地建设；增加一定日间货邮航班时刻供给，增强货运航线航班和跨境电商货物出口运输需求的匹配度；优化航班审批流程，为航空公司开展货运加班和包机业务提供便利。（责任单位：民航华东地区管理局、市交通委、基地航空公司、机场集团）
",normal,NA,否
DF0009,38,"（二十）推动基地航空公司继续做深做远欧美地区航线、做优做强亚洲地区航线，并积极拓展“一带一路”国家和地区的航线，进一步增强全球供应链重点城市连接密度。（责任单位：民航华东地区管理局、市交通委、基地航空公司、机场集团）
",normal,NA,否
DF0009,39,"　　九、全面改善枢纽运营环境
",heading,H1,是
DF0009,40,"（二十一）加强“智慧海关”建设，打造智享联通的大数据平台，探索形成符合新业态发展趋势需要的数字化监管体系。推动跨境电商进口税款电子支付和创新优化退货流程等业务改革。研究上海两场之间国际转运货物海关监管模式创新，提高航空货物的通关和中转效率，进一步压缩航空口岸进出口货物整体通关时间。（责任单位：上海海关、市商务委（市口岸办）、机场集团）
",normal,NA,否
DF0009,41,"（二十二）探索实施航空货运管制代理人制度，加快建设具有安检功能的专业型航空前置货站，开展机场与货站之间航空货物地面驳运安保试点。（责任单位：民航华东地区管理局、市交通委、市商务委（市口岸办）、机场集团、东航集团）
",normal,NA,否
DF0298,13,"　　二、主要任务
",heading,H1,是
DF0298,14,"　　（一）加快构建国际航线网络
",heading,H2,是
DF0298,15,　　1.完善国际航空货运航线。,heading,H3,是
DF0298,16,"按照“成熟一条、开行一条、稳固一条""的原则，制定差异化的航线培育计划。加快恢复受疫情影响停运的国际全货机航线和腹舱带货的客运航班，及时将客改货航班提升为稳固运行的国际全货机航线。加密拓展美洲、欧洲等洲际全货机航线，加密至大阪、台北、香港等亚洲全货机航线，拓展东盟、中东欧等多个国家航点，稳固开行至河内、布达佩斯等方向的国际全货机航线3条以上。到2025年，全市国际通航城市达到25个以上，国际全货机定期航线数量达到10条以上。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位：市商务局、市外办、市邮政管理局、宁波空管站）扩大机场时刻容量供给，合理安排8时至22时国际货运航班时刻，进一步提高国际航空货运飞机日利用率和机场货运服务设施设备利用率。到2025年，力争宁波机场高峰时刻容量提升至22架次/小时。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位：宁波空管站）
",normal,NA,否
DF0298,17,　　2.提升国际货运中转功能。,heading,H3,是
DF0298,18,"以在甬执飞航线为基础，加强与国际货运枢纽机场、国内大型机场及航空公司的合作，拓展国际—国际、国际—国内间多形式、多渠道的空空中转业务。实现第五航权航线稳定运行。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位：市商务局、市外办、市口岸办、宁波海关）加强与长三角周边城市的协同联动，增加宁波至国内城市卡车航班的开行数量，扩大空公联运辐射半径。（牵头单位：宁波临空经济示范区管委会；配合单位：市支援合作局、宁波机场集团）
",normal,NA,否
DF0298,19,"　　（二）着力培育市场主体
",heading,H2,是
DF0298,20,　　3.大力招引货运航空公司。,heading,H3,是
DF0298,21,"加大对货运航空公司的定向招商力度，到2025年，力争引进货运基地航空公司1家，引进注册本土航空公司1家。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位:市商务局、市国资委、市支援合作局、市服务业局、市投资促进署）加大货机投放力度，拓展全球航空货运业务。到2025年，新引进投放过夜货机的航空公司2家，宁波机场国际全货机总运力达到10架，其中过夜全货机4架，每周国际全货机航班数量达到50班。（牵头单位：宁波临空经济示范区管委会；配合单位:市商务局、市服务业局、宁波机场集团）
",normal,NA,否
DF0298,22,　　4.引进培育总部型货代企业。,heading,H3,是
DF0298,23,"提升招商引资政策的精准性，大力引进国内外知名航空货代企业，组织开展对揽货能力强的品牌快递企业的定向招商。到2025年，全市新引进知名航空货代企业3家。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位：市商务局、市服务业局、市投资促进署、市邮政管理局）
",normal,NA,否
DF0298,24,"　　（三）大力拓展货源腹地
",heading,H2,是
DF0298,25,　　5.加快提升揽货集货能力。,heading,H3,是
DF0298,26,"引导支持市航空物流企业与工业企业、外贸进出口企业（含跨境电商企业）、邮政快递企业等重点货源生成企业开展供需对接，根据市场需求及自身条件，优化航线网络配置，改进提升物流供给服务，就地就近满足货主需求。（牵头单位：宁波临空经济示范区管委会、市商务局、市经信局；配合单位：市服务业局、宁波海关、市邮政管理局、宁波机场集团，各区〔县、市〕政府、开发园区管委会）鼓励本地货代企业走出去，支持外地货代企业在我市注册落户、稳固经营，进一步增强揽货集货能力，提高货源集中度和航班实载率。（牵头单位：宁波临空经济示范区管委会、市商务局；配合单位：市支援合作局、市服务业局、市邮政管理局、宁波机场集团）
",normal,NA,否
DF0298,27,　　6.推进临空经济发展。,heading,H3,是
DF0298,28,"加快临空经济示范区建设，推进临空制造、国际贸易、医药健康等临空产业集聚。充分发挥宁波国际邮件互换局、国家跨境电子商务综合试验区、保税物流中心等平台优势，重点发展航空快递、冷链物流、跨境电商、保税物流等业态，加快形成航空物流特色产业链。（牵头单位：宁波临空经济示范区管委会；配合单位：市商务局、市服务业局、市邮政管理局、宁波海关、宁波机场集团，各区〔县、市〕政府、开发园区管委会）谋划布局若干投资体量大、引领带动强、港产城融合度高的重大临空产业项目，推动临空经济突破性发展。（牵头单位：宁波临空经济示范区管委会；配合单位：市发改委、市自然资源规划局、市商务局、市投资促进署、宁波机场集团）
",normal,NA,否
DF0298,29,"　　（四）持续提升服务保障能力
",heading,H2,是
DF0298,30,　　7.加快机场基础设施建设。,heading,H3,是
DF0298,31,"完成宁波机场跑滑系统优化工程，提升跑道使用效率。尽快开工建设机场四期项目，高标准设计第二跑道，满足B777等大型全货机满载起降要求。（牵头单位：宁波机场集团；配合单位：市发改委、市铁路和西枢纽建设中心，海曙区政府）加快宁波机场货站扩容升级，新建成货代用房4000平方米，盘活老货站仓库2万平方米，研究设置国际货运二级分拨仓库，并与机场货运区联动作业，优化货代组货、货物堆存、报关前置等功能，提升国际货运保障能力。加快推进国际“邮快跨""收运通道建设。（牵头单位：宁波机场集团、宁波临空经济示范区管委会；配合单位：市发改委、市商务局、市口岸办、宁波海关、市邮政管理局，海曙区政府）
",normal,NA,否
DF0298,32,　　8.推进集疏运体系建设。,heading,H3,是
DF0298,33,"加快推进绕城高速改线、甬台温高速改扩建、G228国道海曙段等项目，构建宁波机场对外成环的集疏运体系。（牵头单位：市交通局；配合单位：市发改委、市自然资源规划局、宁波交投控股，相关区〔县、市〕政府）加快推进鄞州大道、秋实路等工程，构建“三横三纵一联""的机场快速路网。推进机场空港大道、雅戈尔大道改建等项目，布局形成“进离场主通道+货运区专用道路""机场内部中转网络，打造高效快捷的集疏运体系。（牵头单位：市住建局；配合单位：市发改委、市自然资源规划局、市交通局、市铁路和西枢纽建设中心、宁波机场集团，海曙区政府）
",normal,NA,否
DF0298,34,　　9.完善航空物流配套设施。,heading,H3,是
DF0298,35,"优化完善临空区域航空物流布局，提升货机过夜停放、检测维修、加油服务等配套功能。支持推进空港核辐射检测实验室建设，助力宁波机场国际生鲜冷链港项目做大做强。创新物流设施建设模式，鼓励航空公司、大型货代企业与宁波机场合作，共建共用机场货站、仓库等物流设施。（牵头单位：宁波临空经济示范区管委会、宁波机场集团；配合单位：市自然资源规划局、市商务局）
",normal,NA,否
DF0298,36,　　10.打造高效便利的营商环境。,heading,H3,是
DF0298,37,"延长宁波机场货运区免费堆存时间，降低收费标准，为货物揽收、包机开行、口岸通关等工作创造有利条件。（牵头单位：宁波临空经济示范区管委会；配合单位：宁波机场集团）引进具备航空货物运输条件鉴定、磁性安全检测等资质的第三方专业检测机构，有效提升电子产品、汽车零部件、危险品、超常规货物在装载启运前的前置性安全查验能力。（牵头单位：宁波临空经济示范区管委会；配合单位：市商务局、宁波机场集团）深入推进提前申报、两步申报、两段准入等通关改革，配强机场口岸查验工作力量，落实必要经费保障，提升宁波机场24小时通关服务能力。（牵头单位：宁波临空经济示范区管委会、市口岸办；配合单位：宁波海关、宁波机场集团）推进航空物流相关信息平台建设，实现航空物流领域平台互联、数据共享，提升航空物流智能化、一体化水平。（牵头单位：宁波临空经济示范区管委会、市口岸办；配合单位：宁波海关、宁波机场集团）根据产业发展需要及基础设施建设等情况，适时启动栎社保税物流中心升级为综合保税区的可行性研究，分阶段开展综合保税区申报工作。（牵头单位：宁波临空经济示范区管委会；配合单位：市自然资源规划局、市商务局、市口岸办、宁波海关、宁波机场集团）
",normal,NA,否
DF0298,38,"　　（五）不断强化政策引导支持
",heading,H2,是
DF0298,39,　　11.出台新一轮专项扶持政策。,heading,H3,是
DF0298,40,"围绕国际航空货运航线拓展、市场主体引进培育、流量提升等方面，细化出台国际航空货运发展专项扶持政策，聚焦目标任务，进一步提高扶持政策的精准性和有效性。全力争取国家、省相关政策支持。（牵头单位：宁波临空经济示范区管委会；配合单位：市财政局、市交通局、市服务业局、宁波机场集团）
",normal,NA,否
DF0403,12,"一、鼓励航空货运市场主体开行全货机定期航线，构建覆盖全球的货运航线网络
",heading,H1,是
DF0403,13,"　　（一）对在成都机场（含成都双流国际机场和成都天府国际机场，下同）新开国际（不含地区）全货机定期航线的航空公司，市政府依据成都航空货运枢纽航线网络发展规划、全货机定期航线航班情况（航程距离、机型大小、航班密度）和市场难易程度等因素可给予航空公司为期三年的财政奖励，在开航培育期第一年，新开洲际全货机定期航线给予30万-50万元/班（航线每班是指一个往返程航班，下同）的财政奖励，新开亚洲全货机定期航线给予5万-20万元/班的财政奖励；开航培育期第二、三年财政奖励原则上为第一年标准的80%。
",normal,NA,否
DF0403,14,"　　（二）对正在享受市政府上述第（一）款财政奖励的国际（不含地区）全货机定期航线，在成都机场加密国际（不含地区）全货机定期航线航班的航空公司，在航线航班未实现每天一班前，市政府给予加密航班与现有航线航班同等标准的市场开拓费用财政奖励，奖励期限至该航线协议执行到期为止。
",normal,NA,否
DF0403,15,"　　（三）对在成都机场新开国内（含地区）全货机定期航线和加密国内（含地区）全货机定期航线航班（未达到每天一班全货机航班）的航空公司，市政府根据机型大小确定给予新开国内（含地区）全货机定期航线两年培育期的财政奖励，奖励标准为2万-5万元/班，给予加密航班一年期的市场开拓费用财政奖励，奖励标准为1万-3万元/班。
",normal,NA,否
DF0403,16,"　　（四）对未享受市政府补贴的国际（含地区）全货机定期航线，在航空公司保持现有航线航班数量不减的情况下，市政府可给予为期三年保持航班稳定运行的财政奖励，奖励标准为1万-3万元/班；如在此期间航空公司加密现有航线航班并能够稳定运行一年以上，市政府可给予该加密航线航班与现有稳定运行航班同等1万-3万元/班的奖励。
",normal,NA,否
DF0403,17,"　　（五）其他航空货运市场主体在成都机场开行全货机航线的奖励条件和标准参照航空公司执行。
",normal,NA,否
DF0403,18,"　　（六）对战略性国际全货机定期航线、特别重要急需货运航线和重大招商项目涉及大宗商品运输任务，经市政府专题研究确定奖励标准后，由市政府给予财政奖励。
",normal,NA,否
DF0403,19,"二、鼓励航空货运市场主体向成都机场集货，促进航空货量、中转货量增长
",heading,H1,是
DF0403,20,"　　（一）对航空公司利用国内全货机航班和国内客运航班经成都机场进出港的国内货物增量市政府给予财政奖励。各航空公司以上一年对成都贡献的进出港货量为基数，当年进出港货量增长幅度达到25%（含）以上给予1.0元/公斤奖励，增长幅度达到20%（含）以上给予0.8元/公斤奖励，增长幅度达到10%（含）以上给予0.5元/公斤奖励。
",normal,NA,否
DF0403,21,"　　（二）对航空公司在成都机场库区内实现中转的国际（含地区）货物市政府给予空空中转联运的财政奖励，奖励标准：国内转国际、国际转国内、国际转国际的中转货物2.0元/公斤。
",normal,NA,否
DF0403,22,"　　（三）对航空货站在成都机场开展跨航空公司、跨货站国际（含地区）货物库区内快速中转业务市政府给予中转货物处置财政奖励，奖励标准1.0元/公斤。
",normal,NA,否
DF0403,23,"　　（四）对货代企业在成都机场利用国际（含地区）全货机航班进出港和利用国际客运航班进港的国际货物货量市政府给予财政奖励。国际（含地区）全货机航班进港的奖励标准为远程（10小时以上航距）2.0元/公斤，中程（6-10小时航距）1.5元/公斤，近程（6小时以内航距）1.0元/公斤；国际（含地区）全货机航班出港的奖励标准为0.5元/公斤。国际客运航班进港的奖励标准为0.5元/公斤。
",normal,NA,否
DF0403,24,"　　（五）对货代企业采用地面运输将四川省行政区域范围以外国际货物通过成都机场进出港市政府给予空地联运集货费用财政奖励，奖励标准2.0元/公斤。
",normal,NA,否
DF0403,25,"　　（六）对货代企业或贸易企业利用成都空运进境指定监管场地（植物种苗、冰鲜水产品、食用水生动物、药品、生物制品、水果、肉类、国际邮件）进口特殊货物，市政府给予货量奖励，奖励标准1.0元/公斤。
",normal,NA,否
DF0403,26,"　　（七）对货代企业或货主企业采用全货机国际包机（军品运输、救灾物资等特殊包机除外）方式经成都机场进出港，且全年包机航班达到10班以上，市政府给予全货机国际包机奖励，奖励标准为新开同类国际全货机定期航线财政奖励标准的30%。
",normal,NA,否
DF0403,27,"三、鼓励在成都新设立基地货运航空公司，增加全货机运力
",heading,H1,是
DF0403,28,"　　对在成都机场新设立的基地货运航空公司：
",normal,NA,否
DF0403,29,"　　（一）市政府根据其全货机机型和运力投放能力等情况给予一次性落户财政奖励，奖励标准为1000万-2000万元。
",normal,NA,否
DF0403,30,"　　（二）市政府给予新设立基地货运航空公司配套建设项目供地保障，同时所在区（市）县政府（管委会）给予项目建设优惠扶持政策。
",normal,NA,否
DF0403,31,"　　（三）自投入运营年度起，由所在区（市）县政府（管委会）参照其对地方经济的贡献大小给予为期五年的财政奖励，用于支持其发展投入。
",normal,NA,否
DF0403,32,"四、鼓励在成都新设立国际航空货运转运（分拨）中心，提升航空货运枢纽集疏运能力
",heading,H1,是
DF0403,33,"　　对在成都机场新设立年度航空货运处理能力20万吨（含）以上的国际航空货运转运（分拨）中心：
",normal,NA,否
DF0403,34,"　　（一）市政府给予一次性落户财政奖励，奖励标准为2000万元。
",normal,NA,否
DF0403,35,"　　（二）市政府给予供地保障，同时所在区（市）县政府（管委会）给予项目建设优惠扶持政策。
",normal,NA,否
DF0403,36,"　　（三）自投入运营年度起，由所在区（市）县政府（管委会）参照其对地方经济的贡献大小给予为期五年的财政奖励，用于支持其发展投入。
",normal,NA,否
DF0403,37,"　　（四）投入运营后年度实际处理货量（进出港及中转）达到5万吨（含）以上市政府给予500万元年度奖励，年度实际处理货量每增加1万吨，年度奖励亦增加100万元，最高奖励2000万元。
",normal,NA,否
DF0403,38,"五、提升空港口岸作业效率，减免口岸及货站操作处置费用
",heading,H1,是
DF0403,39,"　　（一）对进出成都机场的国际货物的操作处置费用分别给予进港国际货物0.15元/公斤、出港国际货物0.2元/公斤的市财政补贴，保持成都机场航空货站的收费标准处于全国较低水平。
",normal,NA,否
DF0403,40,"　　（二）积极推进成都双流国际机场航空货站功能前置至空港国际快件中心和海关特殊监管场所，实现航空口岸一体化营运工作机制，免除企业在空港国际快件中心和海关特殊监管场所办理业务的全部费用，市区两级财政按照8：2比例共同分担所产生的费用。
",normal,NA,否
DF0459,9,"二、重点任务
",heading,H1,是
DF0459,10,"　　（一）提升货运设施保障能力。
",heading,H2,是
DF0459,11,　　1.加强基础设施建设。,heading,H3,是
DF0459,12,"加快推进南京禄口机场三期工程、国际快件与跨境电商处理中心建设，优化完善货运设施布局。支持中国邮政集团加快建设南京国际货邮综合核心口岸，打造“邮、快、跨、普”全业务综合物流平台。加快实施无锡硕放机场改扩建工程，建成东部货运区工程、供油工程、国际邮件交换站，提升国际快件、跨境电商运营水平。推动南通兴东机场国际货库改扩建工程、盐城南洋机场飞行区等级提升工程，以及扬州泰州机场、淮安涟水机场跨境电商监管中心建设。加快完善机场货运集疏运体系。支持航空异地货站按照机场控制区安保要求和标准加快基础设施建设。（省发展改革委、省自然资源厅、省生态环境厅、省交通运输厅、省邮政管理局、民航江苏安全监管局、东部机场集团按职责分工负责。相关设区市人民政府为责任主体，下同，不再列出）
",normal,NA,否
DF0459,13,　　2.提升装备专业化水平。,heading,H3,是
DF0459,14,"适度超前完善南京禄口机场、无锡硕放机场、南通机场的快递、冷链、医药、活体动物、危险品及“空空联运”中转场地等货站设施及指定监管场地，按需加大升降平台车、分解组合平台、散货及集装货储存系统等设备投入，提升货站设施综合保障水平。适度提升徐州观音、常州奔牛、扬州泰州、盐城南洋、连云港花果山等机场的国际货站保障能力。按需加大机场口岸卫生检疫、动植物检疫和实货查验专业设施设备投入，加强专业力量配备。（省交通运输厅、南京海关、民航江苏安全监管局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,15,"　　（二）构建全球航空货运网络。
",heading,H2,是
DF0459,16,　　1.打造精品航线网络。,heading,H3,是
DF0459,17,"南京禄口机场巩固和发展至北美、欧洲等枢纽机场的洲际货运航线，拓展至中东地区货运航线，积极开辟亚洲及“一带一路”重点产能合作国家和地区货运航线。无锡硕放机场以畅通先进制造业国际供应链、强化国际快件集散功能为核心，重点发展至欧洲、中北美洲的洲际货运航线，稳定运营亚洲货运航线。南通机场有效承接上海机场外溢货源，着力打造亚洲精品货运航线。其他机场根据当地经济发展实际需要，以腹舱带货为重点，统筹拓展国际航空货运业务。至2027年，南京禄口机场每周不少于3班的国际货运航线达到5条以上，其中每周不少于6班的高频精品洲际货运航线达到2条以上；无锡硕放机场每周不少于3班的洲际货运航线达到2条以上，亚洲货运航线达到2条以上；南通机场每周不少于3班的亚洲货运航线达到3条以上。（省交通运输厅、省商务厅、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,18,　　2.提升中转联运功能。,heading,H3,是
DF0459,19,"积极支持南京禄口机场、无锡硕放机场与航司、电商、货代等企业“抱团出海”，结合航线发展在境外选址建设运营海外货站等物流设施，延伸海外物流服务链条。加强与国内外航司合作，拓展“国际－国际”“国际－国内”空空中转业务，提升“国内－国际”空空中转时效。结合国际航线发展，加密卡车航班网点、密度，推广定班运营模式，与长三角主要城市、海关特殊监管区域及异地货站协调联动，构建覆盖500公里以上具有较强品牌影响力的空陆联运网络。积极探索空铁联运、低空无人机配送等联运新模式，研究推动航空异地货站与口岸机场间开通低空货运航线。（省交通运输厅、省商务厅、南京海关、民航江苏安全监管局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,20,　　3.强化行业资源供给。,heading,H3,是
DF0459,21,"持续深化空域精细化管理改革，强化空域、航线、机场等资源的统筹协调，提升空管服务保障水平。积极争取加大南京禄口、无锡硕放等机场时刻容量供给，放宽机场高峰时段国际货运航班时刻限制，进一步提高全货机日利用率和机场货运服务设施设备利用率。积极争取扩大国际货运航权安排，充分利用和放大第五航权。（省委军民融合办、省交通运输厅、民航江苏安全监管局、民航江苏空管分局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,22,"　　（三）增强市场培育组织能力。
",heading,H2,是
DF0459,23,　　1.提升运力供给水平。,heading,H3,是
DF0459,24,"积极引进国内外骨干航空公司加大运力投放，重点开通洲际全货机航线，提高国际客运航班腹舱载运率。支持基地货运航空公司持续扩大机队规模，结合市场需求布局国际货运航线网络。支持各货运航空公司与快递、物流龙头企业深化合作，共同开发中转联运产品，拓展中转集拼业务。支持货运包机企业打造“虚拟承运人”，定班运作国际货运航线，强化运力采购、运行保障、舱位分销和“一站式”物流服务能力。积极探索通过股权投资、飞机湿租和托管等方式，与货运航空公司开展资本合作，强化运力自主可控。（省交通运输厅、民航江苏安全监管局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,25,　　2.培育物流龙头企业。,heading,H3,是
DF0459,26,"积极引进全球知名的航空货运代理企业、电商头部企业，推动其全国总部、区域总部、功能总部和分拨中心等落户江苏，培育航空物流产业生态圈。积极支持国内领先的物流企业拓展国际航空物流业务，实现运力资源高效整合、精准匹配，提升国际航空物流供应链综合集成能力。鼓励航空物流龙头企业、电商头部企业、航空异地货站运营单位参与机场货站、物流园区的规划、建设和运营。（省交通运输厅、省商务厅、省邮政管理局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,27,　　3.提升货源组织能力。,heading,H3,是
DF0459,28,"鼓励机场和货运航空公司与经开区、高新区、综合保税区等开放载体深化合作，围绕集成电路、生物医药、智能制造等先进制造业集群发展，建立精准化航空物流供需服务对接机制。加快建设苏州航空异地货站，推动机场货站功能前置，积极探索出口货物“属地交货、属地安检、属地报关、属地放行、集拼运输”等创新模式。支持各机场设立异地货站，提升服务质效。（省发展改革委、省工业和信息化厅、省交通运输厅、省商务厅、南京海关、民航江苏安全监管局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,29,　　4.推进临空经济发展。,heading,H3,是
DF0459,30,"加快建设国家级南京临空经济示范区，推进区港一体规划、合作运营。以南京空港型国家物流枢纽为支撑，积极引进航空货运企业落户，推动进口贸易中心、国际分拨中心建设，引导临空指向型产业资源进一步在示范区集聚，促进临空经济与国际航空货运融合发展。支持无锡市争创国家级临空经济示范区，深化全国快递产业集聚发展示范园区建设。支持南通等市开展临空经济区规划建设。支持扬州市、泰州市结合扬州泰州机场二期扩建工程规划建设临空物流产业园。支持徐州市结合徐州观音机场国际货运站建设打造淮海经济区空港型物流枢纽。鼓励各机场打造航空运输、飞机维修、物流仓储等国际航空货运服务产业链，培育具有临空特色的现代服务、先进制造和智慧物流相关产业。（省发展改革委、省工业和信息化厅、省交通运输厅、省邮政管理局、东部机场集团按职责分工负责）
",normal,NA,否
DF0459,31,"　　（四）提高物流服务保障效率。
",heading,H2,是
DF0459,32,　　1.强化服务保障能力。,heading,H3,是
