node_id,track,tool_nature,parent_title,pau_final,pau_std_v10,guard_tags_v10,owner_window_size_v10,normalization_log_v10
TA_001,track_a,,（一）提升货运设施保障能力。,货运设施保障能力,货运设施保障能力,,20,原结构已符合规范，方向性动词与宾语边界清晰，保守保留原样。
TA_002,track_a,,1.加强基础设施建设。,基础设施建设,基础设施建设,,20,保持原components结构，M保留政策动词，pau维持O+A标准格式，未触发特殊规则。
TA_003,track_a,,2.提升装备专业化水平。,装备专业化水平,装备专业化水平,,20,结构已符合规范，方向动词与宾语边界清晰，保守保留原样。
TA_004,track_a,,（二）构建全球航空货运网络。,全球航空货运网络,全球航空货运网络,,20,未触发引进落户或并列拆分规则；保守保留原components结构与pau_final表述。
TA_005,track_a,,1.打造精品航线网络。,精品航线网络,精品航线网络打造,,20,保持原组件结构不变；将pau_final统一为宾语+动作的标准表述格式。
TA_006,track_a,,2.提升中转联运功能。,中转联运功能,中转联运功能,,20,保持原结构，提升为方向性动词，中转联运功能为核心对象，未触发拆分或改写规则。
TA_007,track_a,,3.强化行业资源供给。,行业资源供给,行业资源供给,,20,原结构已符合规范，强化作为方向性动词保留，行业资源供给作为核心宾语保留，未做拆分或改写。
TA_008,track_a,,（三）增强市场培育组织能力。,市场培育组织能力,市场培育组织能力,,20,保持原结构，方向动词与宾语边界清晰，符合track_a规范，无需调整。
TA_009,track_a,,1.提升运力供给水平。,运力供给水平,运力供给水平,,20,保持原方向性动词与宾语结构，未触发拆分或合并规则，结构已稳定。
TA_010,track_a,,2.培育物流龙头企业。,物流龙头企业,物流龙头企业,,20,未触发引进落户或并列动作规则，保持原A与O结构，A_type维持direction。
TA_011,track_a,,3.提升货源组织能力。,货源组织能力,货源组织能力,,20,保持原结构，符合track_a方向性动词提取规范
TA_012,track_a,,4.推进临空经济发展。,临空经济发展,临空经济发展,,20,保持原结构，推进为方向性动作，临空经济发展为核心对象，未触发拆分或合并规则。
TA_013,track_a,,（四）提高物流服务保障效率。,物流服务保障效率,物流服务保障效率,,20,原结构已符合规范，方向性动作与对象边界清晰，未触发拆分或合并规则，保持保守输出。
TA_014,track_a,,1.强化服务保障能力。,服务保障能力,服务保障能力,,20,保持原结构，方向动词与宾语边界清晰，无需调整。
TA_015,track_a,,2.优化简化安检流程。,安检流程,安检流程,,20,未触发引进/落户及MVP并列规则，保守保留原动作与对象，未做拆分或改写。
TA_016,track_a,,3.提升口岸通关效率。,口岸通关效率,口岸通关效率,,20,当前节点结构已符合规范，未触发引进落户或并列动作规则，保守保持原样。
TA_017,track_a,,4.推进智慧物流建设。,智慧物流建设,智慧物流建设,,20,结构已符合规范，保留推进于M，pau统一为对象加实质动作格式
TA_018,track_a,,一、科学统筹推进枢纽建设,枢纽建设,枢纽建设,,20,保守保留原M修饰词与A/O结构，未触发引进落户或并列拆分规则，pau_std按O+A格式标准化
TA_019,track_a,,二、加快完善枢纽规划布局,枢纽规划布局,枢纽规划布局,,20,保留加快于M，完善维持direction型A不作拆分；pau_std沿用O核心词块，遵循方向性动词在PAU中默认省略的惯例。
TA_020,track_a,,三、加快推进基础设施建设,基础设施建设,基础设施建设,,20,保守保留原M修饰词与A/O结构，未触发拆分或改写规则；pau维持O+A标准形式。
TA_021,track_a,,四、积极培育多元经营主体,多元经营主体,多元经营主体,,20,未触发引进落户或并列拆分规则；保守保留原方向性动作与修饰词，维持原组件结构。
TA_022,track_a,,五、大力拓展增量市场业务,增量市场业务,增量市场业务拓展,,20,保留原components结构，pau按O+A惯例标准化为增量市场业务拓展；未触发引进落户或并列拆分规则，保守处理。
TA_023,track_a,,六、扎实做好货物运输保障,货物运输保障,货物运输保障,,20,维持原方向性动词与修饰词结构，未触发引进/落户或并列拆分规则，保守保留原貌。
TA_024,track_a,,七、提升枢纽智慧绿色水平,枢纽智慧绿色水平,枢纽智慧绿色水平,,20,未触发特殊规则，方向性动作与对象边界清晰，保守保留原结构。
TA_025,track_a,,八、继续做好航空资源保障,航空资源保障,航空资源保障,,20,保守保留原结构，未触发引进/落户或并列动作规则，方向性动词与修饰词维持现状。
TA_026,track_a,,九、全面改善枢纽运营环境,枢纽运营环境,枢纽运营环境,,20,未触发引进/落户或并列拆分规则，结构已符合规范，保守保留原components与pau_final。
TB_001,track_b,,（一）提升货运设施保障能力 > 1.加强基础设施建设,机场货运区工程建设,机场货运区工程建设,,20,原结构已符合规范，未触发引进/落户或并列动作规则，保守保留原样
TB_002,track_b,,（一）提升货运设施保障能力 > 1.加强基础设施建设,国际快件与跨境电商处理中心建设,国际快件与跨境电商处理中心建设,,20,保守保留原结构，未触发引进/落户或并列拆分规则，业务词块与修饰关系维持现状。
TB_003,track_b,,（一）提升货运设施保障能力 > 1.加强基础设施建设,国际货邮综合核心口岸建设,国际货邮综合核心口岸建设,,20,保持原components结构，未触发引进/落户或并列动作规则，pau与scope+O+A顺序一致，无需调整。
TB_004,track_b,,（一）提升货运设施保障能力 > 1.加强基础设施建设,货运集疏运体系,货运集疏运体系,,20,结构已稳定，A_type为direction故pau_std保留核心对象O，未做改动。
TB_005,track_b,,（一）提升货运设施保障能力 > 1.加强基础设施建设,异地货站基础设施建设,异地货站基础设施建设,,20,未触发拆分或引进落户规则，保守保留原components与pau结构。
TB_006,track_b,,（一）提升货运设施保障能力 > 2.提升装备专业化水平,货站设施及指定监管场地,货站设施及指定监管场地完善,,20,保守保留原方向性动作与对象结构，未触发引进落户或并列拆分规则。
TB_007,track_b,,（一）提升货运设施保障能力 > 2.提升装备专业化水平,口岸检疫查验设施设备,口岸检疫查验设施设备投入,,20,显式提取口岸至S_scope；保留原动作投入不作替换；pau对齐叶节点完整表述
TB_008,track_b,,（二）构建全球航空货运网络 > 1.打造精品航线网络,洲际货运航线,洲际货运航线,,20,保守保留原结构，未触发引进/落户或并列拆分规则，动作与对象边界清晰
TB_009,track_b,,（二）构建全球航空货运网络 > 1.打造精品航线网络,亚洲货运航线,亚洲及一带一路货运航线,,20,根据leaf_name补全遗漏的'一带一路'至S_scope；同步修正pau_std_v10以完整覆盖原文范围。
TB_010,track_b,,（二）构建全球航空货运网络 > 1.打造精品航线网络,国际腹舱货运业务,国际腹舱货运业务,,20,未触发引进落户或并列拆分规则，保守保留原components结构与pau_final表述。
TB_011,track_b,,（二）构建全球航空货运网络 > 2.提升中转联运功能,海外货站建设运营,海外货站建设运营,,20,将A字段由'建设'恢复为'建设运营'，遵循并列动作默认不拆分规则，完整还原原文语义。
TB_012,track_b,,（二）构建全球航空货运网络 > 2.提升中转联运功能,空空中转业务,空空中转业务,,20,保持原结构，A_type为direction符合规范，O保留稳定业务词块'空空中转'，未做拆分。
TB_013,track_b,,（二）构建全球航空货运网络 > 2.提升中转联运功能,卡车航班网络,卡车航班网络,,20,未触发引进/落户及并列拆分规则；组件结构清晰，保守保持原样。
TB_014,track_b,,（二）构建全球航空货运网络 > 2.提升中转联运功能,空地联运网络,空地联运网络,,20,未触发拆分或引进落户规则；保持原components结构，pau_std沿用空地联运网络以符合领域惯例。
TB_015,track_b,,（二）构建全球航空货运网络 > 2.提升中转联运功能,空铁联运新模式,空铁联运新模式,,20,保守保留原components结构；pau_std贴近原pau_final标准化；未触发引进/落户或并列动作规则。
TB_016,track_b,,（二）构建全球航空货运网络 > 3.强化行业资源供给,空域精细化管理,空域精细化管理,,20,原结构与语义已清晰稳定，未触发拆分或合并规则，保持原样。
TB_017,track_b,,（二）构建全球航空货运网络 > 3.强化行业资源供给,货运航班时刻容量供给,货运航班时刻容量供给,,20,未触发引进/落户、MVP并列或默认不拆规则；保守保留原动作与对象划分，维持现状。
TB_018,track_b,,（二）构建全球航空货运网络 > 3.强化行业资源供给,国际货运航权与第五航权,国际货运航权与第五航权,,20,未触发引进落户或并列动作拆分规则，保守保留原A、O与S_type映射关系，pau维持原表述。
TB_019,track_b,,（三）增强市场培育组织能力 > 1.提升运力供给水平,骨干航空公司运力引进,骨干航空公司运力引进,,20,未触发引进/落户合并或并列动作拆分规则，保守保留原O+A结构与语序。
TB_020,track_b,,（三）增强市场培育组织能力 > 1.提升运力供给水平,基地货运航空公司机队,基地货运航空公司机队,,20,原结构已符合规范，扩大为方向性动作且对象明确，保守保留原components与pau。
TB_021,track_b,,（三）增强市场培育组织能力 > 1.提升运力供给水平,中转集拼业务,中转集拼业务,,20,保守保留原components结构，方向性动作'拓展'按规范不纳入pau_std，聚焦核心业务对象。
TB_022,track_b,,（三）增强市场培育组织能力 > 1.提升运力供给水平,包机虚拟承运人运营,包机虚拟承运人运营,,20,未触发引进落户或并列拆分规则，原结构已清晰稳定，保守保留原components与pau_final。
TB_023,track_b,,（三）增强市场培育组织能力 > 1.提升运力供给水平,货运航空公司资本合作,货运航空公司资本合作,,20,未触发引进落户或并列拆分规则，保守保留原抽取组件与短语
TB_024,track_b,,（三）增强市场培育组织能力 > 2.培育物流龙头企业,全球航空货运代理企业与电商头部企业引进落户,全球航空货运代理企业与电商头部企业引进,,20,"依据引进/落户规则，移除O字段中的'落户'，仅保留'引进'作为核心动作 | applied intro-settlement rule: keep 引进, drop 落户 from canonical output"
TB_025,track_b,,（三）增强市场培育组织能力 > 2.培育物流龙头企业,国际航空物流供应链综合集成能力,国际航空物流供应链综合集成能力,,20,未触发特殊规则，保持原components与pau_final结构
TB_026,track_b,,（三）增强市场培育组织能力 > 2.培育物流龙头企业,龙头企业参与货站与物流园区建设运营,龙头企业参与货站与物流园区建设运营,,20,保持原组件结构，建设运营按强规则3作为稳定业务词块保留不拆分，参与作为实质性动作保留。
TB_027,track_b,,（三）增强市场培育组织能力 > 3.提升货源组织能力,航空物流供需服务对接机制,航空物流供需服务对接机制,,20,结构已符合规范，与同类机制节点保持一致，未做改动。
TB_028,track_b,,（三）增强市场培育组织能力 > 3.提升货源组织能力,异地货站建设与货站功能前置,异地货站建设与货站功能前置,异地货站,20,保留稳定业务词块'异地货站'；维持原'建设'动作与复合对象结构，未做机械拆分。
TB_029,track_b,,（三）增强市场培育组织能力 > 4.推进临空经济发展,临空经济示范区建设,临空经济示范区建设,示范,20,结构已稳定，保留示范 guard 标签，未做拆分或改写
TB_030,track_b,,（三）增强市场培育组织能力 > 4.推进临空经济发展,国际分拨中心与进口贸易中心建设,国际分拨中心与进口贸易中心建设,,20,当前节点结构已符合规范，未触发引进落户或并列动作拆分规则，保守保留原建设动作与对象表述
TB_031,track_b,,（三）增强市场培育组织能力 > 4.推进临空经济发展,临空物流产业园建设,临空物流产业园规划建设,,20,依据规则3，恢复遗漏的'规划'并与'建设'合并为复合动作，保持默认不拆
TB_032,track_b,,（四）提高物流服务保障效率 > 1.强化服务保障能力,货运设施空侧陆侧运输流线,优化货运设施空侧陆侧运输流线,,20,未触发特殊规则，保守保留原组件与PAU表述。
TB_033,track_b,,（四）提高物流服务保障效率 > 1.强化服务保障能力,跨境电商产业园区与货站一体监管空侧直连,跨境电商产业园区与货站一体监管空侧直连,,20,保持原动作与宾语结构，未触发拆分或合并规则，业务词块完整保留。
TB_034,track_b,,（四）提高物流服务保障效率 > 1.强化服务保障能力,货站专业化服务水平,货站专业化服务水平,,20,原结构已符合规范，方向动词与对象划分清晰，保守保留。
TB_035,track_b,,（四）提高物流服务保障效率 > 2.优化简化安检流程,托运人白名单信用管理制度,托运人白名单信用管理制度,,20,维持原建立动作与制度宾语结构，未触发引进落户或并列拆分规则
TB_036,track_b,,（四）提高物流服务保障效率 > 2.优化简化安检流程,异地货站一次安检机制,实行异地货站一次安检机制,异地货站|一次安检,20,保守保留原动作与宾语结构；标记稳定业务词块“异地货站”“一次安检”防误拆；未触发其他标准化规则。
TB_037,track_b,,（四）提高物流服务保障效率 > 2.优化简化安检流程,跨境电商货物便利化运输,跨境电商货物便利化运输,,20,未触发引进/落户及并列拆分规则，保守保留原动作开展与对象结构，边界清晰无误伤风险。
TB_038,track_b,,（四）提高物流服务保障效率 > 2.优化简化安检流程,特货敏货便利化运输准入机制,特货敏货便利化运输准入机制,,20,未触发特殊标准化规则，保守保留原组件与pau结构
TB_039,track_b,,（四）提高物流服务保障效率 > 3.提升口岸通关效率,7×24小时无障碍预约通关,7×24小时无障碍预约通关,,20,原结构已符合规范，动作与对象边界清晰，未触发特殊标准化规则，保守保留。
TB_040,track_b,,（四）提高物流服务保障效率 > 3.提升口岸通关效率,通关绿色通道,通关绿色通道,,20,保持原状，未触发特殊标准化规则，组件结构与pau_final已符合规范。
TB_041,track_b,,（四）提高物流服务保障效率 > 3.提升口岸通关效率,卡车航班与机坪直提模式,卡车航班与机坪直提模式,,20,结构已符合规范，未触发拆分或合并规则，保守保留原组件与短语。
TB_042,track_b,,（四）提高物流服务保障效率 > 3.提升口岸通关效率,通关查验便利化措施,通关查验便利化措施,,20,原结构已符合规范，实施与措施搭配合理，保守保留原样。
TB_043,track_b,,（四）提高物流服务保障效率 > 4.推进智慧物流建设,航空物流数据互联共享,航空物流数据互联共享,,20,保持原结构，方向性动词'推动'与宾语'航空物流数据互联共享'未作拆分，pau直接沿用O。
TB_044,track_b,,（四）提高物流服务保障效率 > 4.推进智慧物流建设,航空电子运单操作流程,航空电子运单操作流程推广,,20,原结构已规范，保留推广动作与操作流程对象，未作拆分或改写
TB_045,track_b,,（四）提高物流服务保障效率 > 4.推进智慧物流建设,高附加值货物全流程追踪服务体系,高附加值货物全流程追踪服务体系,,20,补全O字段缺失的限定词以对齐leaf_name与pau_final；保留原动词构建，未触发并列拆分或引进落户规则。
TB_046,track_b,,（四）提高物流服务保障效率 > 4.推进智慧物流建设,航空物流公共服务平台建设,航空物流公共服务平台建设,,20,无变更，原结构已符合标准规范，保守保留
TB_047,track_b,,（四）提高物流服务保障效率 > 4.推进智慧物流建设,智能审图AI技术应用,智能审图AI技术应用,,20,保持原结构，动作与对象边界清晰，符合领域表达习惯，无需调整。
TB_048,track_b,,二、加快完善枢纽规划布局,国际航空枢纽战略规划修编,国际航空枢纽战略规划修编,,20,原结构已符合规范，保留原动作与对象划分，未做改动。
TB_049,track_b,,二、加快完善枢纽规划布局,机场总体规划与货站布局规划,机场总体规划与货站布局规划,,20,保守保留原components结构；pau_std对齐方向性动词省略惯例，未做实质改动。
